Accession	Target of assay	Filename	Date released	Date submitted
ENCSR530ARJ	PAXIP1	ENCFF825TUP	2020-07-08	2019-05-07
ENCSR620DBD	ZFP14	ENCFF800VNW	2020-07-08	2019-05-07
ENCSR050KWL	ZSCAN22	ENCFF904LYG	2020-07-08	2019-05-07
ENCSR251XFX	DMTF1	ENCFF598CBU	2020-07-08	2019-05-07
ENCSR396XDF	ZBTB24	ENCFF148RPN	2020-07-08	2019-05-07
ENCSR481AIK	ZBTB3	ENCFF149QHA	2020-07-08	2019-05-07
ENCSR584DEL	ZNF543	ENCFF141UZG	2020-07-08	2019-05-07
ENCSR055FQB	ZNF217	ENCFF130OKL	2020-07-08	2019-05-07
ENCSR625XAV	ZBTB8A	ENCFF421QJP	2020-07-08	2019-05-07
ENCSR542PZA	ZNF490	ENCFF703APN	2020-07-08	2019-05-07
ENCSR734CRN	ZC3H8	ENCFF049ISU	2020-07-08	2019-05-07
ENCSR747VUU	JUN	ENCFF636SGK	2020-07-08	2019-05-07
ENCSR644WQN	ZNF556	ENCFF340TNC	2020-07-08	2019-05-07
ENCSR832PID	ZNF318	ENCFF720DYW	2020-07-08	2019-05-07
ENCSR599XKG	HMGXB4	ENCFF305WWR	2020-07-08	2019-05-07
ENCSR931SYA	ZBTB46	ENCFF930FAL	2020-07-08	2019-05-07
ENCSR794LVK	ARNTL	ENCFF588WBI	2020-07-08	2019-05-07
ENCSR055ZIA	ZNF570	ENCFF259PTV	2020-07-08	2019-05-07
ENCSR621PAN	HINFP	ENCFF445FCL	2020-07-08	2019-05-07
ENCSR407BPU	ZNF609	ENCFF667MEL	2020-07-08	2019-05-07
ENCSR519QYU	ZNF101	ENCFF373KUZ	2020-07-08	2019-05-07
ENCSR890DSP	IRF1	ENCFF368IYV	2020-07-08	2019-05-07
ENCSR346BOD	TCF7L2	ENCFF726SWQ	2020-07-01	2019-04-08
ENCSR670UEX	ZNF710	ENCFF216JWP	2020-07-14	2019-04-08
ENCSR410FEH	TBX2	ENCFF946LHJ	2020-07-01	2019-04-03
ENCSR938VRO	ZNF343	ENCFF415YWK	2020-07-08	2019-04-03
ENCSR940EZR	ZNF280B	ENCFF428HNJ	2020-07-09	2019-04-03
ENCSR886VSY	ZNF224	ENCFF772BAU	2020-07-09	2019-04-03
ENCSR756UNW	ZNF548	ENCFF802DLC	2020-07-08	2019-04-01
ENCSR194NVP	MTF1	ENCFF502QZR	2020-07-14	2019-03-31
ENCSR492IHH	ISL2	ENCFF308RXD	2020-07-14	2019-03-31
ENCSR988EVQ	XBP1	ENCFF472DLA	2020-07-14	2019-03-31
ENCSR286LPH	ZNF615	ENCFF618JPG	2020-07-01	2019-03-31
ENCSR764ZBK	HSF2	ENCFF062UNZ	2020-07-14	2019-03-31
ENCSR999JKC	HOXA3	ENCFF753OCA	2020-07-14	2019-03-31
ENCSR543BNN	ISX	ENCFF872DSQ	2020-07-14	2019-03-31
ENCSR016OHL	ZNF317	ENCFF865WCB	2020-07-14	2019-03-30
ENCSR717ZZW	E2F1	ENCFF049BWK	2020-07-14	2019-03-30
ENCSR498TWD	MAF1	ENCFF976LBY	2020-07-14	2019-03-30
ENCSR897LDT	GATA2	ENCFF409YKQ	2020-07-14	2019-03-29
ENCSR545ACM	ZNF549	ENCFF259UJN	2020-07-14	2019-03-28
ENCSR168DYA	MAX	ENCFF254ZDA	2020-07-14	2019-03-28
ENCSR869RSW	ZNF766	ENCFF042SUM	2020-07-14	2019-03-27
ENCSR402ZCY	ATF3	ENCFF349HIP	2020-07-09	2019-03-04
ENCSR032LZZ	ZNF362	ENCFF361PBY	2020-07-08	2019-02-09
ENCSR417EWD	FUBP3	ENCFF953FNE	2020-07-08	2019-02-09
ENCSR633HRJ	HNF1A	ENCFF767MSS	2020-07-08	2019-02-09
ENCSR272TOJ	DLX6	ENCFF707SJC	2020-07-08	2018-12-12
ENCSR510GKB	ZNF770	ENCFF514IUU	2020-07-01	2018-11-30
ENCSR795CKZ	ZSCAN30	ENCFF560NWT	2020-07-01	2018-11-30
ENCSR945QEW	ZNF121	ENCFF604THW	2020-07-01	2018-11-30
ENCSR775YXE	ZBTB37	ENCFF180WMP	2020-07-08	2018-11-30
ENCSR849FVL	GFI1	ENCFF999HNJ	2020-07-01	2018-11-30
ENCSR169JRW	ZSCAN20	ENCFF505AEY	2020-07-08	2018-11-29
ENCSR076SHT	GPN1	ENCFF955LND	2020-08-28	2018-11-26
ENCSR869JZW	HOXA5	ENCFF385DPO	2020-07-08	2018-11-15
ENCSR908HWZ	ATF2	ENCFF522LHU	2020-07-09	2018-11-15
ENCSR099FCQ	USF1	ENCFF442JPI	2020-07-09	2018-10-30
ENCSR486JYI	E2F5	ENCFF732NHA	2020-07-09	2018-10-30
ENCSR925TWM	ETV6	ENCFF387KML	2020-07-09	2018-10-30
ENCSR495RMN	ZFP62	ENCFF224RFJ	2020-07-08	2018-10-02
ENCSR505LJT	ZFP37	ENCFF743AUT	2020-07-08	2018-10-02
ENCSR325VYA	ZNF557	ENCFF130ZHU	2020-07-08	2018-10-02
ENCSR717QSS	ELK1	ENCFF399YOO	2020-07-08	2018-10-02
ENCSR029ARE	ZNF773	ENCFF906WDG	2020-07-08	2018-10-02
ENCSR232LLP	FOXP4	ENCFF163LGN	2020-07-08	2018-10-02
ENCSR661PKJ	ONECUT2	ENCFF417HLM	2020-07-08	2018-10-02
ENCSR013RNH	E2F2	ENCFF372PXU	2020-07-08	2018-10-02
ENCSR886YJI	ZNF574	ENCFF550VES	2020-07-08	2018-09-26
ENCSR587BVQ	TFAP4	ENCFF645QRU	2020-07-09	2018-09-25
ENCSR005GZH	SMAD3	ENCFF206KPV	2020-07-09	2018-09-25
ENCSR322ULL	ZBTB7B	ENCFF725ZBA	2020-07-09	2018-08-02
ENCSR581KCO	MYBL2	ENCFF904DOZ	2020-07-09	2018-08-02
ENCSR935GZV	NFYB	ENCFF257CCO	2020-07-09	2018-08-02
ENCSR248BVU	ZNF264	ENCFF404IUH	2020-07-08	2018-08-02
ENCSR512ECF	ZNF142	ENCFF868DTR	2020-07-08	2018-08-02
ENCSR357YPP	ZNF124	ENCFF683CTP	2020-07-09	2018-08-01
ENCSR959COF	ZBTB10	ENCFF825GVH	2020-07-08	2018-07-23
ENCSR490AMH	FOXA2	ENCFF656PGC	2020-07-09	2018-07-23
ENCSR561BQM	SIX1	ENCFF069QZX	2020-07-09	2018-07-23
ENCSR069JKP	TFDP2	ENCFF340VOQ	2020-07-09	2018-07-23
ENCSR046DIG	DDIT3	ENCFF659PQJ	2020-07-09	2018-07-23
ENCSR107DKT	SP140L	ENCFF467WXB	2020-07-09	2018-07-23
ENCSR769CWW	ATF6	ENCFF463GXC	2020-07-09	2018-07-23
ENCSR409PMR	ZBED4	ENCFF021YBN	2020-07-09	2018-07-23
ENCSR469FBY	HNF4A	ENCFF704BPD	2020-07-08	2018-06-06
ENCSR532WFC	ZBTB14	ENCFF428ZPS	2020-07-08	2018-06-06
ENCSR689JMN	PREB	ENCFF249NCB	2020-07-08	2018-06-06
ENCSR767HDQ	CERS6	ENCFF209MHH	2020-07-14	2018-06-06
ENCSR080UEM	ZNF143	ENCFF698ITQ	2020-07-08	2018-06-06
ENCSR068ZQR	ZNF777	ENCFF920PLY	2020-07-08	2018-05-24
ENCSR173USN	ZBTB43	ENCFF499KOY	2020-07-08	2018-05-23
ENCSR011INW	PRDM15	ENCFF486MHG	2020-07-08	2018-05-23
