Accession	Target of assay	Filename	Date released	Date submitted
ENCSR608XTF	RNF2	ENCFF271MJE	2016-11-17	2016-05-12
ENCSR948VFL	IKZF1	ENCFF637SIR	2016-10-11	2016-05-03
ENCSR331BDJ	NKRF	ENCFF068MGV	2016-09-01	2016-05-03
ENCSR796ITY	NFIC	ENCFF169MAE	2017-05-17	2016-05-03
ENCSR822CCM	ARID1B	ENCFF879NTL	2016-11-30	2016-05-02
ENCSR343IFJ	CC2D1A	ENCFF156GHD	2017-06-29	2016-04-29
ENCSR315NNL	CHAMP1	ENCFF541VYN	2017-11-14	2016-04-29
ENCSR742IDN	NR2C1	ENCFF469ZBB	2017-01-27	2016-04-28
ENCSR162IEM	MYBL2	ENCFF637PFI	2017-08-25	2016-04-27
ENCSR780BBJ	ZZZ3	ENCFF797VEK	2016-12-05	2016-04-27
ENCSR710WLO	MGA	ENCFF524ZER	2016-12-19	2016-04-27
ENCSR283ZNI	ZBTB8A	ENCFF423CWQ	2018-01-26	2016-04-27
ENCSR968GIB	RFX1	ENCFF768VRG	2016-09-20	2016-04-27
ENCSR764YDL	NR0B1	ENCFF931LUC	2018-01-26	2016-04-27
ENCSR264CZJ	THRA	ENCFF992HUS	2017-06-29	2016-04-27
ENCSR334HSW	ZNF318	ENCFF545WAL	2016-09-27	2016-04-27
ENCSR552YGL	NFE2	ENCFF023IFO	2016-08-24	2016-04-23
ENCSR263DFP	PBX2	ENCFF345BUG	2016-08-24	2016-04-04
ENCSR591CCL	ZNF512	ENCFF184IOY	2016-08-24	2016-03-31
ENCSR474CVP	TRIM28	ENCFF770JQM	2017-11-14	2016-03-31
ENCSR121PFY	CDC5L	ENCFF408RSJ	2016-07-28	2016-03-31
ENCSR648INT	ILK	ENCFF143MEF	2016-02-16	2015-12-15
ENCSR787RVK	TSC22D4	ENCFF705SFR	2016-03-02	2015-10-31
ENCSR608HVP	KLF13	ENCFF453MMH	2016-03-02	2015-10-31
ENCSR093FKD	CREB3	ENCFF950IYB	2016-03-02	2015-10-31
ENCSR277DMR	ETV1	ENCFF065RZP	2016-03-02	2015-10-31
ENCSR117WTM	ZNF24	ENCFF683VTL	2016-03-02	2015-10-31
ENCSR416QLJ	CEBPB	ENCFF712ZNR	2016-01-14	2015-10-31
ENCSR619GFP	HINFP	ENCFF826QOG	2016-03-02	2015-10-31
ENCSR772EEN	RELA	ENCFF936WES	2016-01-14	2015-10-31
ENCSR854MCV	IRF1	ENCFF557FUM	2016-03-02	2015-10-31
ENCSR314BBS	PTTG1	ENCFF918BZG	2016-03-02	2015-10-31
ENCSR635GTR	TEAD2	ENCFF209WPT	2016-03-02	2015-10-31
ENCSR091GVJ	ATF1	ENCFF627RSK	2016-01-14	2015-10-30
ENCSR924GXX	PHB2	ENCFF785QJM	2017-01-27	2015-10-30
ENCSR818DQV	MAFG	ENCFF493DXA	2016-01-14	2015-10-30
ENCSR926KTP	IRF9	ENCFF724CHN	2016-01-14	2015-10-30
ENCSR550HCT	KLF1	ENCFF674KVR	2016-01-14	2015-10-30
ENCSR638QHV	ELF4	ENCFF616FCV	2017-01-31	2015-09-29
ENCSR370NFS	ZNF280A	ENCFF932ZCO	2018-01-26	2015-09-29
ENCSR138YYY	GABPB1	ENCFF764HIS	2018-01-26	2015-09-29
ENCSR502OEK	ELF1	ENCFF350OMH	2016-07-28	2015-09-29
ENCSR145TSJ	ATF4	ENCFF086TAD	2018-01-26	2015-06-30
